*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 07, 2014; 01:51:49
                                                                                
*RUN   1        : 0 N check plot            SGCER045 ITHY8001    1              
 MODEL          : SGCER045 - Grain sorghum                                      
 EXPERIMENT     : ITHY8001 SG ICRISAT ALFISOL N 1980 EXPT 80-1                  
 DATA PATH      :                                                               
 TREATMENT  1   : 0 N check plot            SGCER045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172     0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1980 213    49     0     1     0.0   82.4   75.5    6.9    0.20    0.25    0.38    1.18    6.27    6.83    5.36    2.86    1.30    1.21    0.11    0.18    0.05    0.09    0.01    0.02    0.02    0.60    0.33    0.32   12.39   60.80    0.04   10.51    0.00    1.87   61.38
 1980 214    50     0     1     0.0   81.5   74.7    6.8    0.26    0.25    0.26    0.81    6.32    6.81    5.35    2.87    1.31    1.22    0.11    0.20    0.05    0.10    0.01    0.02    0.02    0.58    0.32    0.32   12.59   61.05    0.05   10.58    0.00    2.01   62.45
 1980 215    51     0     1     0.0   81.5   74.8    6.7    0.20    0.26    0.30    0.85    6.29    6.80    5.33    2.87    1.32    1.23    0.09    0.20    0.05    0.10    0.01    0.02    0.02    0.57    0.31    0.31   12.82   61.34    0.05   10.65    0.00    2.17   62.63
 1980 216    52     0     1     0.0   81.6   75.0    6.6    0.17    0.26    0.30    0.86    6.34    6.79    5.33    2.89    1.32    1.23    0.11    0.21    0.06    0.11    0.01    0.02    0.02    0.55    0.30    0.30   13.00   61.54    0.05   10.71    0.00    2.30   62.63
 1980 217    53     0     1     0.0   81.7   75.2    6.5    0.19    0.26    0.31    0.85    6.37    6.79    5.33    2.90    1.33    1.24    0.12    0.22    0.06    0.12    0.01    0.01    0.02    0.54    0.30    0.30   13.18   61.74    0.06   10.76    0.00    2.42   62.63
 1980 218    54     0     1     0.0   77.1   70.6    6.4    0.20    0.27    0.27    0.65    4.71    6.78    5.31    2.91    1.34    1.25    0.11    0.23    0.06    0.13    0.02    0.01    0.02    0.53    0.29    0.29   13.37   61.96    0.06   10.82    0.00    2.55   67.38
 1980 219    55     0     1     0.0   77.2   70.9    6.4    0.11    0.20    0.24    0.57    4.65    7.05    5.31    2.92    1.34    1.25    0.12    0.24    0.06    0.13    0.02    0.01    0.01    0.52    0.29    0.28   13.56   62.18    0.07   10.88    0.00    2.68   67.38
 1980 220    56     0     1     0.0   74.9   68.6    6.3    0.13    0.20    0.25    0.47    3.63    7.18    5.30    2.92    1.35    1.26    0.13    0.25    0.06    0.14    0.03    0.01    0.01    0.51    0.28    0.28   13.75   62.37    0.08   10.94    0.00    2.81   69.84
 1980 221    57     0     1     0.0   75.0   68.8    6.2    0.16    0.22    0.25    0.47    3.53    7.31    5.29    2.93    1.35    1.26    0.13    0.25    0.07    0.15    0.03    0.01    0.01    0.50    0.27    0.27   13.95   62.58    0.08   11.00    0.00    2.95   69.84
 1980 222    58     0     1     0.0   71.8   65.7    6.1    0.20    0.23    0.25    0.33    2.30    7.35    5.28    2.94    1.36    1.27    0.13    0.25    0.07    0.15    0.04    0.01    0.01    0.49    0.27    0.27   14.18   62.81    0.09   11.07    0.00    3.11   73.16
 1980 223    59     0     1     0.0   72.0   66.0    6.1    0.26    0.27    0.26    0.35    2.30    7.37    5.27    2.95    1.36    1.27    0.11    0.25    0.06    0.16    0.05    0.02    0.01    0.47    0.26    0.26   14.45   63.08    0.09   11.16    0.00    3.29   73.16
 1980 224    60     0     1     0.0   72.2   66.2    6.0    0.31    0.30    0.27    0.36    2.23    7.45    5.27    2.96    1.37    1.28    0.10    0.25    0.06    0.17    0.06    0.02    0.01    0.46    0.26    0.25   14.72   63.35    0.10   11.24    0.00    3.49   73.16
 1980 225    61     0     1     0.0   72.4   66.5    5.9    0.36    0.34    0.29    0.38    2.25    7.45    5.26    2.97    1.38    1.29    0.09    0.25    0.06    0.17    0.07    0.03    0.01    0.45    0.25    0.25   15.01   63.66    0.10   11.32    0.00    3.69   73.16
 1980 226    62     0     1     0.0   68.5   62.7    5.8    0.22    0.33    0.30    0.33    1.82    6.41    5.25    2.98    1.38    1.29    0.09    0.23    0.05    0.16    0.07    0.03    0.01    0.44    0.25    0.24   15.29   63.98    0.10   11.40    0.00    3.89   77.28
 1980 227    63     0     1     0.0   67.6   61.9    5.7    0.22    0.31    0.30    0.34    1.73    6.13    5.24    2.98    1.39    1.30    0.10    0.23    0.05    0.16    0.07    0.04    0.01    0.43    0.24    0.24   15.53   64.23    0.10   11.46    0.00    4.07   78.39
 1980 228    64     0     1     0.0   67.5   61.9    5.6    0.24    0.32    0.32    0.36    1.72    6.07    5.23    2.99    1.39    1.30    0.11    0.24    0.05    0.16    0.08    0.04    0.01    0.42    0.23    0.23   15.77   64.49    0.10   11.53    0.00    4.25   78.60
 1980 229    65     0     1     0.0   67.6   62.1    5.5    0.24    0.35    0.35    0.39    1.74    6.05    5.22    3.00    1.40    1.31    0.11    0.24    0.05    0.15    0.08    0.05    0.01    0.41    0.23    0.23   16.03   64.79    0.10   11.60    0.00    4.43   78.69
 1980 230    66     0     1     0.0   67.8   62.4    5.4    0.20    0.35    0.39    0.45    1.76    6.06    5.21    3.01    1.40    1.31    0.11    0.25    0.05    0.15    0.08    0.05    0.01    0.40    0.22    0.22   16.27   65.06    0.11   11.66    0.00    4.61   78.69
 1980 231    67     0     1     0.0   68.0   62.6    5.3    0.22    0.35    0.40    0.49    1.78    6.06    5.21    3.01    1.41    1.32    0.12    0.25    0.05    0.15    0.08    0.05    0.01    0.39    0.22    0.22   16.51   65.32    0.11   11.72    0.00    4.79   78.69
 1980 232    68     0     1     0.0   68.1   62.9    5.2    0.09    0.19    0.39    0.34    1.34    5.84    6.23    3.02    1.41    1.32    0.12    0.26    0.06    0.15    0.08    0.06    0.01    0.38    0.21    0.21   16.74   65.58    0.12   11.77    0.00    4.97   78.69
 1980 233    69     0     1     0.0   68.3   63.1    5.2    0.06    0.12    0.21    0.29    0.88    3.56    5.31    4.97    1.42    1.33    0.13    0.27    0.06    0.16    0.08    0.06    0.01    0.37    0.21    0.21   16.97   65.77    0.13   11.83    0.00    5.14   78.69
 1980 234    70     0     1     0.0   68.5   63.3    5.2    0.07    0.11    0.17    0.27    0.76    2.96    4.81    5.50    1.54    1.33    0.13    0.27    0.06    0.16    0.09    0.07    0.02    0.36    0.20    0.20   17.23   65.95    0.13   11.91    0.00    5.33   78.69
 1980 235    71     0     1     0.0   68.7   63.4    5.2    0.08    0.12    0.17    0.27    0.74    2.83    4.69    5.52    1.68    1.34    0.14    0.28    0.07    0.17    0.10    0.08    0.03    0.36    0.20    0.20   17.49   66.10    0.13   11.99    0.00    5.50   78.69
 1980 236    72     0     1     0.0   68.8   63.5    5.3    0.11    0.13    0.17    0.27    0.72    2.70    4.57    5.53    1.83    1.34    0.14    0.29    0.07    0.18    0.11    0.09    0.04    0.35    0.20    0.19   17.73   66.25    0.13   12.06    0.00    5.68   78.69
 1980 237    73     0     1     0.0   68.9   63.7    5.3    0.13    0.14    0.16    0.25    0.64    2.30    4.03    5.24    2.65    1.34    0.14    0.29    0.07    0.18    0.11    0.10    0.04    0.35    0.19    0.19   17.98   66.41    0.18   12.13    0.00    5.85   78.69
 1980 238    74     0     1     0.0   69.1   63.8    5.3    0.19    0.17    0.17    0.25    0.61    2.09    3.70    5.05    2.86    1.61    0.13    0.29    0.07    0.19    0.12    0.11    0.05    0.34    0.19    0.18   18.27   66.62    0.25   12.20    0.00    6.06   78.69
 1980 239    75     0     1     0.0   69.3   64.0    5.3    0.25    0.20    0.19    0.26    0.60    2.00    3.53    4.95    2.96    1.77    0.11    0.28    0.06    0.19    0.12    0.12    0.06    0.34    0.19    0.18   18.59   66.86    0.30   12.29    0.00    6.31   78.69
 1980 240    76     0     1     0.0   69.5   64.3    5.3    0.32    0.25    0.20    0.28    0.62    2.01    3.48    4.91    2.99    1.81    0.09    0.27    0.06    0.19    0.13    0.13    0.07    0.34    0.19    0.18   18.96   67.18    0.32   12.38    0.00    6.58   78.69
 1980 241    77     0     1     0.0   69.8   64.6    5.2    0.41    0.31    0.23    0.30    0.64    2.02    3.46    4.88    3.00    1.83    0.06    0.24    0.05    0.18    0.13    0.13    0.08    0.33    0.18    0.17   19.33   67.55    0.34   12.47    0.00    6.86   78.69
 1980 242    78     0     1     0.0   70.1   65.0    5.1    0.48    0.36    0.25    0.32    0.66    2.04    3.46    4.88    3.01    1.84    0.05    0.22    0.04    0.18    0.13    0.13    0.10    0.33    0.18    0.17   19.70   67.91    0.34   12.56    0.00    7.14   78.69
 1980 243    79     0     1     0.0   70.4   65.4    5.0    0.55    0.41    0.28    0.34    0.68    2.06    3.47    4.88    3.01    1.84    0.05    0.20    0.03    0.17    0.13    0.13    0.10    0.32    0.18    0.17   20.06   68.27    0.34   12.64    0.00    7.42   78.69
 1980 244    80     0     1     0.0   70.6   65.7    4.9    0.62    0.46    0.29    0.36    0.70    2.07    3.48    4.88    3.01    1.84    0.05    0.19    0.03    0.17    0.12    0.13    0.11    0.32    0.18    0.16   20.40   68.62    0.35   12.72    0.00    7.68   78.69
 1980 245    81     0     1     0.0   70.9   66.0    4.8    0.68    0.50    0.31    0.38    0.72    2.09    3.50    4.88    3.01    1.85    0.05    0.17    0.03    0.16    0.12    0.13    0.11    0.32    0.17    0.16   20.72   68.96    0.35   12.79    0.00    7.93   78.69
 1980 246    82     0     1     0.0   71.1   66.4    4.7    0.26    0.49    0.51    0.51    0.75    2.11    3.51    4.88    3.02    1.85    0.04    0.16    0.03    0.15    0.12    0.12    0.11    0.31    0.17    0.16   21.03   69.29    0.35   12.86    0.00    8.18   78.69
 1980 247    83     0     1     0.0   71.3   66.6    4.7    0.13    0.35    0.43    0.54    0.88    2.16    3.52    4.88    3.02    1.85    0.07    0.17    0.03    0.16    0.12    0.12    0.11    0.31    0.17    0.16   21.32   69.50    0.36   12.92    0.00    8.41   78.69
 1980 248    84     0     1     0.0   71.5   66.8    4.8    0.12    0.33    0.42    0.54    0.89    2.22    3.53    4.88    3.02    1.86    0.09    0.19    0.04    0.17    0.12    0.12    0.12    0.31    0.17    0.15   21.60   69.68    0.36   12.97    0.00    8.63   78.69
 1980 249    85     0     1     0.0   71.8   66.9    4.8    0.13    0.32    0.41    0.53    0.88    2.27    3.55    4.89    3.03    1.86    0.10    0.20    0.05    0.17    0.13    0.12    0.12    0.30    0.17    0.15   21.87   69.86    0.36   13.03    0.00    8.84   78.69
 1980 250    86     0     1     0.0   69.6   64.7    4.9    0.09    0.19    0.28    0.42    0.69    1.87    3.40    4.91    3.06    1.86    0.10    0.20    0.05    0.18    0.14    0.13    0.12    0.30    0.17    0.15   22.14   70.05    0.36   13.08    0.00    9.06   81.07
 1980 251    87     0     1     0.4   66.5   61.5    4.9    0.12    0.19    0.23    0.32    0.51    1.34    2.43    4.57    3.25    2.26    0.11    0.21    0.05    0.18    0.14    0.14    0.13    0.30    0.17    0.15   22.39   70.18    0.38   13.13    0.00    9.26   84.02
 1980 252    88     0     1     1.2   63.2   58.2    5.0    0.16    0.20    0.23    0.25    0.35    0.96    1.78    4.36    3.32    2.35    0.10    0.22    0.05    0.19    0.15    0.14    0.13    0.30    0.17    0.15   22.69   70.36    0.39   13.19    0.00    9.50   86.69
 1980 253    89     0     1     1.5   61.3   56.2    5.0    0.23    0.22    0.24    0.25    0.26    0.72    1.35    4.25    3.35    2.38    0.09    0.22    0.05    0.19    0.15    0.15    0.14    0.30    0.17    0.14   23.02   70.59    0.40   13.25    0.00    9.77   88.56
 1980 254    90     0     1     1.5   60.3   55.3    5.0    0.30    0.25    0.25    0.26    0.27    0.57    1.07    4.23    3.35    2.38    0.08    0.22    0.05    0.20    0.15    0.15    0.15    0.29    0.17    0.14   23.39   70.91    0.40   13.31    0.00   10.08   89.84
 1980 255    91     0     1     1.5   59.5   54.5    4.9    0.34    0.29    0.27    0.27    0.27    0.46    0.85    4.21    3.35    2.38    0.05    0.21    0.04    0.19    0.15    0.15    0.15    0.29    0.17    0.14   23.76   71.29    0.40   13.38    0.00   10.38   90.98
 1980 256    92     0     1     1.5   58.7   53.8    4.9    0.31    0.30    0.27    0.27    0.27    0.37    0.69    4.20    3.35    2.39    0.05    0.19    0.04    0.18    0.15    0.15    0.15    0.29    0.16    0.14   24.12   71.67    0.40   13.44    0.00   10.68   92.06
 1980 257    93     0     1     1.5   58.0   53.3    4.8    0.24    0.32    0.29    0.27    0.27    0.30    0.55    4.18    3.35    2.39    0.05    0.18    0.03    0.18    0.14    0.15    0.15    0.29    0.16    0.14   24.48   72.05    0.41   13.50    0.00   10.98   92.99
