$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         OCT 13, 2014; 10:45:28
                                                                                
*RUN   1        : DRYLAND  - 0 KG N/HA      CSCER045 KSAS8101    1              
 MODEL          : CSCER045 - Wheat                                              
 EXPERIMENT     : KSAS8101 WH                                                   
 DATA PATH      :                                                               
 TREATMENT  1   : DRYLAND  - 0 KG N/HA      CSCER045                            
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNW0D SNW1D  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
 1981 304    25    15  13.9  -9.8 11.42  1.42  0.04  2.72   0.8  0.04 0.004  0.05    54    20    10    24    11    13     0  0.00     0     0     7     0     0 0.531  30.1     0     0   162   393  0.27  0.75  33.4  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   1.9  0.00  0.00  0.86  0.54
 1981 305    26    16  12.2  -9.7 11.58  1.58  0.04  2.72   1.4  0.05 0.004  0.05    55    17    11    27    13    14     0  0.00     0     0     8     0     0 0.614  30.4     0     0   162   392  0.29  0.75  51.4  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.85  0.54
 1981 306    27    17  10.2  -9.7 11.71  1.71  0.05  2.72   1.6  0.05 0.005  0.06    57    15    12    30    14    16     0  0.00     0     0     9     0     0 0.703  31.2     0     0   162   392  0.30  0.75  53.0  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.83  0.55
 1981 307    28    18  11.4  -9.6 11.86  1.86  0.05  2.72   3.8  0.06 0.005  0.07    60    13    12    35    15    19     0  0.00     0     0    12     0     0 0.797  33.8     0     0   162   391  0.31  0.75  52.2  99.9  7.31  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.82  0.55
 1981 308    29    19  10.2  -9.6 12.00  2.00  0.05  2.72   2.4  0.07 0.006  0.07    62    12    13    37    17    21     0  0.00     0     0    13     0     0 0.895  33.6     0     0   162   391  0.32  0.75  56.8  99.9 12.62  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.81  0.56
 1981 309    30    20  10.6  -9.5 12.11  2.11  0.06  2.72   9.0  0.07 0.006  0.08    70    11    14    45    18    27     0  0.00     0     0    18     0     0     1  40.6     0     0   162   390  0.33  0.75  55.7  99.9  3.44  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.80  0.56
 1981 310    31    21   6.7 -10.3 12.18  2.18  0.06  2.72  10.1  0.07 0.006  0.08    79    11    15    53    19    34     0  0.00     0     0    25     0     0 1.108  48.0     0     0   162   390  0.33  0.75  52.3  99.9  3.65  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.33  0.78  0.56
 1981 311    32    22   9.7 -10.3 12.28  2.28  0.06  2.72   7.5  0.08 0.007  0.08    86    10    16    59    20    39     0  0.00     0     0    30     0     0 1.230  50.5     0     0   162   389  0.34  0.75  51.9  99.9  5.03  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.03  0.76  0.57
 1981 312    33    23  10.9 -10.2 12.40  2.40  0.07  2.72   0.9  0.08 0.007  0.09    86    10    17    60    20    40     0  0.00     0     0    30     0     0 1.360  49.6     0     0   162   388  0.35  0.75  61.2  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.75  0.57
 1981 313    34    24   2.5 -11.6 12.42  2.42  0.07  1.36   5.6  0.08 0.007  0.09    91    10    17    64    20    44     0  0.00     0     0    34     0     0 1.493  52.8     0     0   162   388  0.35  0.75  60.1  99.9  4.52  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.50  0.75  0.73  0.57
 1981 314    35    25   5.6 -12.8 12.48  2.48  0.07  2.72  10.6  0.08 0.007  0.09   101    10    19    72    21    51     0  0.00     0     0    41     0     0 1.631  57.3     0     0   162   388  0.36  0.75  55.8  99.9  4.45  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.44  0.71  0.58
 1981 315    36    26   7.5 -13.4 12.56  2.56  0.07  2.72  10.3  0.08 0.007  0.09   110    10    20    80    22    59     0  0.00     0     0    48     0     0 1.781  60.2     0     0   162   387  0.36  0.75  54.5  99.9  4.74  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.25  0.69  0.58
 1981 316    37    27  10.9 -13.2 12.67  2.67  0.07  2.72  10.3  0.09 0.008  0.10   119     9    21    88    23    65     0  0.00     0     0    54     0     0 1.941  61.6     0     0   162   387  0.37  0.75  53.8  99.9  4.67  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.67  0.59
 1981 317    38    28  10.6 -13.1 12.78  2.78  0.08  2.72  10.7  0.09 0.008  0.10   128     9    23    96    24    72     0  0.00     0     0    60     0     0 2.113  62.9     0     0   162   386  0.38  0.75  53.2  99.9  4.86  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.66  0.59
 1981 318    39    29  13.0 -13.0 12.92  2.92  0.08  2.72   8.2  0.10 0.009  0.11   136     9    24   102    26    77     0  0.00     0     0    64     0     0 2.295  62.9     0     0   162   385  0.39  0.75  53.3  99.9  6.54  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.66  0.59
 1981 319    40    30  15.0 -12.9 13.08  3.08  0.09  2.72   9.3  0.11 0.009  0.12   144     9    25   109    28    82     0  0.00     0     0    69     0     0 2.486  62.7     0     0   162   384  0.41  0.75  53.3  99.9  5.75  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.66  0.60
 1981 320    41    31  17.5 -12.7 13.26  3.26  0.09  2.72  12.8  0.12 0.010  0.13   155     9    27   119    30    89     0  0.00     0     0    75     0     0 2.687  62.7     0     0   162   383  0.42  0.75  53.9  99.9  4.22  0.00  0.00  0.00  0.00  0.00  0.00   1.7  0.00  0.00  0.66  0.60
 1981 321    42    32  12.8 -12.5 13.40  3.40  0.10  2.72  13.2  0.12 0.011  0.13   167     9    28   129    32    97     0  0.00     0     0    82     0     0 2.901  63.5     0     0   162   381  0.43  0.75  54.1  99.9  4.70  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.65  0.60
 1981 322    43    33  14.1 -12.4 13.55  3.55  0.10  2.72   9.1  0.13 0.012  0.14   175     9    30   136    34   102     0  0.00     0     0    86     0     0 3.129  63.2     0     0   162   380  0.44  0.75  54.6  99.9  7.24  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.65  0.61
 1981 323    44    34   4.1 -13.8 13.59  3.59  0.10  2.26   2.7  0.13 0.012  0.14   177     9    30   138    34   104     0  0.00     0     0    88     0     0 3.365  63.4     0     0   162   380  0.45  0.76  54.6  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.17  0.59  0.63  0.61
 1981 324    45    35   0.0 -15.2 13.59  3.59  0.10  0.00   0.0  0.13 0.012  0.14   177     9    30   138    34   104     0  0.00     0     0    88     0     0 3.603  63.4     0     0   162   380  0.45  0.76  53.9  99.9 10.72  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.60  0.61
 1981 325    46    36   2.5 -16.6 13.62  3.62  0.10  1.36   7.2  0.13 0.012  0.14   183     9    30   143    34   109     0  0.00     0     0    93     0     0 3.839  64.7     0     0   162   380  0.45  0.76  53.5  99.9  5.70  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.50  0.75  0.58  0.62
 1981 326    47    37   7.0 -17.4 13.69  3.69  0.11  2.72  10.0  0.13 0.012  0.14   192     9    32   151    35   116     0  0.00     0     0    99     0     0 4.082  65.8     0     0   162   379  0.45  0.76  53.5  99.9  6.98  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.30  0.56  0.62
 1981 327    48    38  10.6 -17.3 13.80  3.80  0.11  2.72  13.2  0.14 0.012  0.15   203     9    33   161    37   124     0  0.00     0     0   107     0     0 4.334  66.6     0     0   162   379  0.46  0.76  53.8  99.9  5.06  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.55  0.62
 1981 328    49    39   6.4 -18.3 13.87  3.87  0.11  2.72  12.1  0.14 0.013  0.15   214     9    35   170    37   133     0  0.00     0     0   115     0     0 4.600  67.9     0     0   162   378  0.47  0.76  53.8  99.9  6.39  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.36  0.52  0.62
 1981 329    50    40  12.2 -18.1 14.00  4.00  0.12  2.72  13.0  0.15 0.013  0.16   226     9    36   180    39   141     0  0.00     0     0   123     0     0 4.878  68.2     0     0   162   377  0.48  0.76  54.3  99.9  5.31  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.52  0.63
 1981 330    51    41   6.7 -19.1 14.07  4.07  0.12  2.72   9.9  0.15 0.013  0.16   234     9    38   187    40   148     0  0.00     0     0   129     0     0 5.169  68.9     0     0   162   377  0.48  0.76  54.4  99.9  8.59  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.33  0.49  0.63
 1981 331    52    42  -0.8 -20.0 14.07  4.07  0.12  0.00   0.0  0.15 0.013  0.16   234     9    37   187    40   148     0  0.00     0     0   129     0     0 5.469  68.9     0     0   162   376  0.48  0.76  54.1  99.9 11.75  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.48  0.63
 1981 332    53    43   2.5 -20.0 14.09  4.09  0.12  1.36   4.4  0.15 0.013  0.16   237     9    38   191    40   151     0  0.00     0     0   132     0 0.144 5.767  69.5     0     0   162   376  0.48  0.76  54.1  99.9 11.19  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.50  0.75  0.45  0.64
 1981 333    54    44   3.0 -20.0 14.13  4.13  0.12  1.66   4.5  0.15 0.013  0.16   241     9    38   194    40   154     0  0.00     0     0   136     0 0.319 6.068  70.1     0     0   162   376  0.49  0.76  54.2  99.9 12.86  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.39  0.70  0.43  0.64
 1981 334    55    45   5.9 -20.0 14.19  4.19  0.12  2.72   1.1  0.15 0.013  0.16   241     9    38   194    40   155     0  0.00     0     0   136     0 0.655 6.371  70.1     0     0   162   376  0.49  0.76  73.4  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.41  0.41  0.64
 1981 335    56    46   2.2 -20.0 14.21  4.21  0.12  1.20   2.0  0.15 0.013  0.16   243     9    38   196    40   156     0  0.00     0     0   138     0 0.781 6.674  70.3     0     0   162   376  0.49  0.76  79.5  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.56  0.78  0.39  0.64
 1981 336    57    47   3.6 -20.0 14.25  4.25  0.12  1.96   9.3  0.15 0.013  0.16   251     9    39   203    40   163     0  0.00     0     0   145     0 0.988 6.976  71.4     0     0   162   375  0.50  0.76  73.4  99.9  8.61  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.28  0.64  0.36  0.64
 1981 337    58    48   4.5 -20.0 14.30  4.30  0.12  2.42  14.1  0.15 0.013  0.16   263     9    41   213    40   173     0  0.00     0     0   155     0 1.244 7.287  72.8     0     0   162   375  0.50  0.76  71.0  99.9  7.07  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.11  0.55  0.34  0.65
 1981 338    59    49   3.9 -20.0 14.34  4.34  0.12  2.12  12.4  0.15 0.013  0.16   273     9    42   222    39   183     0  0.00     0     0   164     0 1.468 7.612  74.0     0     0   162   375  0.50  0.76  70.1  99.9  7.51  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.22  0.61  0.32  0.65
 1981 339    60    50   3.9 -20.0 14.38  4.38  0.12  2.12   4.4  0.15 0.013  0.16   277     9    42   225    39   186     0  0.00     0     0   167     0 1.693 7.948  74.3     0     0   162   374  0.51  0.76  70.0  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.22  0.61  0.30  0.65
 1981 340    61    51   8.9 -20.0 14.47  4.47  0.12  2.72  11.1  0.15 0.014  0.16   286     9    44   233    40   193     0  0.00     0     0   174     0 2.205 8.287  74.8     0     0   162   374  0.51  0.76  69.7  99.9  9.75  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.11  0.28  0.65
 1981 341    62    52  11.7 -20.0 14.59  4.59  0.12  2.72  14.6  0.15 0.014  0.17   298     9    45   244    41   202     0  0.00     0     0   183     0 2.879 8.637  75.3     0     0   162   372  0.52  0.76  69.4  99.9  7.15  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.27  0.65
 1981 342    63    53   3.7 -20.0 14.63  4.63  0.12  1.99   9.6  0.15 0.014  0.17   306     9    46   251    41   209     0  0.00     0     0   190     0 3.090 9.000  76.0     0     0   167   372  0.53  0.76  68.7  99.9 10.24  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.27  0.63  0.25  0.66
 1981 343    64    54   2.2 -20.0 14.66  4.66  0.12  1.22   6.4  0.15 0.014  0.17   312     9    47   255    41   214     0  0.00     0     0   195     0 3.220 9.372  76.5     0     0   170   372  0.53  0.76  67.8  99.9 10.23  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.55  0.77  0.23  0.66
 1981 344    65    55  -0.3 -20.0 14.66  4.66  0.12  0.00   0.0  0.15 0.014  0.17   311     9    47   255    41   214     0  0.00     0     0   195     0 3.220 9.748  76.5     0     0   170   371  0.53  0.76  67.7  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.21  0.66
 1981 345    66    56   2.5 -20.0 14.68  4.68  0.12  1.36   1.5  0.15 0.014  0.17   312     9    46   256    41   215     0  0.00     0     0   196     0 3.365 10.12  76.6     0     0   173   371  0.53  0.76  67.8  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.50  0.75  0.18  0.66
 1981 346    67    57   2.8 -20.0 14.71  4.71  0.12  1.52   1.5  0.15 0.014  0.17   313     9    46   257    41   216     0  0.00     0     0   197     0 3.526 10.49  76.8     0     0   177   371  0.53  0.76  67.9  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.44  0.72  0.16  0.66
 1981 347    68    58   2.5 -20.0 14.74  4.74  0.12  1.36   1.1  0.15 0.014  0.17   313     9    46   258    41   217     0  0.00     0     0   198     0 3.671 10.86  76.9     0     0   181   371  0.53  0.76  68.0  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.50  0.75  0.14  0.66
 1981 348    69    59   0.5 -20.0 14.74  4.74  0.12  0.30   1.5  0.15 0.014  0.17   314     9    46   259    41   218     0  0.00     0     0   199     0 3.703 11.23  77.0     0     0   181   371  0.54  0.76  67.9  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.89  0.94  0.12  0.66
 1981 349    70    60   0.0 -20.0 14.74  4.74  0.12  0.00   0.0  0.15 0.014  0.17   314     9    46   259    41   218     0  0.00     0     0   199     0 3.703 11.60  77.0     0     0   181   371  0.54  0.76  67.6  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.10  0.66
 1981 350    71    61  -4.7 -20.0 14.74  4.74  0.12  0.00   0.0  0.15 0.014  0.17   314     9    45   259    41   218     0  0.00     0     0   199     0 3.703 11.97  77.0     0     0   181   371  0.54  0.76  67.6  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.09  0.66
 1981 351    72    62 -12.5 -20.0 14.74  4.74  0.06  0.00   0.0  0.08 0.007  0.08   184     9    45   130    20   109     0  0.00     0     0   100     0 33.13 12.33  76.8     0     0   181   371  0.54  0.76  67.5  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.07  0.67
 1981 352    73    63 -13.6 -20.0 14.74  4.74  0.02  0.00   0.0  0.02 0.004  0.02    97     9    45    43    10    33     0  0.00     0     0    28     0 47.84 12.69  64.3     0     0   181   208  0.54  0.76  67.5  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.05  0.67
 1981 353    74    64 -11.4 -20.0 14.74  4.74  0.01  0.00   0.0  0.02 0.003  0.02    85     9    44    31     7    24     0  0.00     0     0    20     0 51.96 13.04  63.9     0     0   181   208  0.54  0.76  67.4  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.03  0.67
 1981 354    75    65  -4.2 -20.0 14.74  4.74  0.01  0.00   0.0  0.02 0.003  0.02    84     9    44    31     7    24     0  0.00     0     0    20     0 51.96 13.40  63.9     0     0   181   208  0.54  0.76  70.0  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.01  0.67
 1981 355    76    66   2.0 -20.0 14.76  4.76  0.01  1.06   0.1  0.02 0.003  0.02    84     9    43    32     7    24     0  0.00     0     0    20     0 51.96 13.75  63.7     0     0   184   209  0.54  0.76  72.1  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.61  0.81  0.00  0.67
 1981 356    77    67   1.7 -20.0 14.78  4.78  0.01  0.93   0.1  0.02 0.003  0.02    84     9    43    32     7    24     0  0.00     0     0    20     0 51.96 14.09  63.6     0     0   186   210  0.54  0.76  72.2  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.66  0.83  0.00  0.67
 1981 357    78    68  -1.1 -20.0 14.78  4.78  0.01  0.00   0.0  0.02 0.003  0.02    84     9    43    32     7    24     0  0.00     0     0    20     0 51.96 14.44  63.6     0     0   186   210  0.54  0.76  71.1  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.67
 1981 358    79    69  -0.3 -20.0 14.78  4.78  0.01  0.00   0.0  0.02 0.003  0.02    83     9    42    32     7    24     0  0.00     0     0    20     0 51.96 14.78  63.6     0     0   186   210  0.54  0.76  70.1  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.67
 1981 359    80    70   1.6 -20.0 14.80  4.80  0.01  0.90   0.4  0.02 0.003  0.02    83     9    42    32     8    24     0  0.00     0     0    20     0 51.96 15.12  63.7     0     0   189   211  0.54  0.76  69.3  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.67  0.84  0.00  0.67
 1981 360    81    71  -1.7 -20.0 14.80  4.80  0.01  0.00   0.0  0.02 0.003  0.02    83     9    42    32     8    24     0  0.00     0     0    20     0 51.96 15.46  63.7     0     0   189   211  0.54  0.76  68.7  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.67
 1981 361    82    72  -3.1 -20.0 14.80  4.80  0.01  0.00   0.0  0.02 0.003  0.02    83     9    42    32     8    24     0  0.00     0     0    20     0 51.96 15.79  63.7     0     0   189   211  0.54  0.76  68.5  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.67
 1981 362    83    73  -4.4 -20.0 14.80  4.80  0.01  0.00   0.0  0.02 0.003  0.02    82     9    41    32     8    24     0  0.00     0     0    20     0 51.96 16.13  63.7     0     0   189   211  0.54  0.76  68.3  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.66
 1981 363    84    74  -3.6 -20.0 14.80  4.80  0.01  0.00   0.0  0.02 0.003  0.02    82     9    41    32     8    24     0  0.00     0     0    20     0 51.96 16.46  63.7     0     0   189   211  0.54  0.76  67.7  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.66
 1981 364    85    75   1.7 -20.0 14.82  4.82  0.01  0.93   0.4  0.02 0.003  0.02    82     9    41    32     8    25     0  0.00     0     0    21     0 51.96 16.78  63.8     0     0   191   212  0.54  0.76  67.1  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.66  0.83  0.00  0.66
 1981 365    86    76   0.0 -20.0 14.82  4.82  0.01  0.00   0.0  0.02 0.003  0.02    82     9    40    32     8    25     0  0.00     0     0    21     0 51.96 17.11  63.8     0     0   191   212  0.54  0.76  66.4  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.66
 1982   1    87    77  -6.1 -20.0 14.82  4.82  0.01  0.00   0.0  0.02 0.003  0.02    81     9    40    32     8    25     0  0.00     0     0    21     0 51.96 17.43  63.8     0     0   191   212  0.54  0.76  66.3  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.66
 1982   2    88    78   0.8 -20.0 14.83  4.83  0.01  0.46   0.0  0.02 0.003  0.02    81     9    40    32     8    25     0  0.00     0     0    21     0 51.96 17.75  63.7     0     0   192   212  0.54  0.76  68.2  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.83  0.92  0.00  0.66
 1982   3    89    79  -6.3 -20.0 14.83  4.83  0.01  0.00   0.0  0.02 0.003  0.02    81     9    39    32     8    25     0  0.00     0     0    21     0 51.96 18.07  63.7     0     0   192   212  0.54  0.76  68.2  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.66
 1982   4    90    80  -6.1 -20.0 14.83  4.83  0.01  0.00   0.0  0.02 0.003  0.02    80     9    39    32     8    25     0  0.00     0     0    21     0 51.96 18.38  63.7     0     0   192   212  0.54  0.76  73.2  99.9 15.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  1.00  1.00  0.00  0.66
